shopper_id	gender	email_optin_flag
sh2557F5B1430BD4FC	F	1
sh29D9B7D3853A2939	M	0
shEBF4960B12E7C703	M	1
sh28A4AC72AC98F466	U	1
sh17A778B79C02280F	M	1
shA308D650FB03811D	M	0
shBE8A6C32C3AC714D	F	1
sh837A4D05A11149A7	F	1
sh62613619238AB5B0	F	1
sh9EA1404A44EBB86C	U	1
shF10E51FA8D315D54	M	1
sh78701D415B0EAC42	M	1
shFA949FC679AB40DE	F	1
sh07D684E0E28AF2F3	M	0
sh4773F9F9511C89E0	F	1
sh88B4908392B2AD6C	M	1
shAD54FAB146679385	M	1
sh4011339175ACDC05	M	1
shDC7109ED673DA862	F	1
shD07D23BC542C094C	M	0
sh126567035F6526A5	F	1
sh503B333A5262AE58	M	1
shF223D86187A0ECBA	M	1
shDD7C0931E464FC25	M	0
shE2579E5D2FE94C4D	F	1
sh2AAD8B9BE5BF40D6	F	1
sh405BE0D0E80E2CFD	M	1
shAA6F8A9DA7828FD0	F	1
sh78CF91E1BACE1518	M	1
sh389FE5050D400BE1	M	1
shC976F205E33C64F7	F	1
sh0F4117F3EBEB6E8A	M	0
sh15A2FFC89E8AF146	F	1
sh61B9B6C67ADF31DE	M	1
shD318083AEBB5000C	M	1
shFB80B9CA7A00995A	M	0
shE283A00FD45D8413	F	1
shC0A8B96B4E6D9293	F	0
sh6F9C8C4E2A6BD8C5	F	1
sh8AE54A638D4F6322	U	1
sh6A8A117660D48B8E	M	1
sh21C6A396C92E1380	M	0
shC9622322F4690C2B	F	1
sh790F97ADE7334FCE	F	0
sh6E67F2ADB497280B	F	1
sh35E2164B7D419038	M	1
sh6C5C04EA415C99DC	M	1
sh6AE82587016E177F	M	1
shAF4D396045311433	F	1
sh0DEAA69CC5CC5E91	M	1
shDFD34100F1263EB6	F	1
sh9FB5B63B213691D2	M	1
shEE2DA57968BFB634	M	1
sh90ACA16B1C10C298	M	1
shBD45BCC23B0FDAB0	F	1
shDAA30B64E570E5B5	F	1
sh0D6AB3C1ECCF2578	F	1
sh9E0718E54F956019	F	1
shC9AD11E0F8485C4E	M	1
shCB26C2715E81F17D	M	0
sh65D73B0B023B4771	M	1
shD7529A66A1A3FAD8	F	1
shDBAFDB4C44A35887	F	1
sh901D1DBBB3E9360E	F	0
sh8A58D0D32F446B8A	M	1
shDA7E240298F75BA8	M	1
sh5FD3010377903BEA	F	1
sh007D8D54ED7A1C8C	M	0
shB868AC2EE0942B4D	F	1
sh67FDD990A06BF661	F	0
sh17DE0D80499D2709	M	1
shE2099D51FD1FBE51	M	0
sh42060489F8B75B00	F	1
shD867A74158901265	M	0
sh609668E3EC32387C	F	1
shB346353F43F4A916	F	1
shF94DB42B07AD6622	M	1
sh90CD0B81DD42AFB4	M	1
sh667377F3D4124BB8	F	1
sh70B7FB61A311AD39	F	1
shAAC4F20CBC03E02F	M	1
shFEEDE504FBC0F221	U	1
sh857092550B443723	M	1
sh473B15B6EBA9AFF8	M	1
sh143C49894C2564C8	F	1
sh166C7A83E1D26266	M	1
sh9C53867352722985	F	1
sh4488C8F2084E88EE	M	1
sh23ACA2267927E94E	M	1
sh34E042B188555F84	M	0
sh49AC5B8ECD164BCF	F	1
